"SampID","HabitatSampled"
"52","undercut overhanging"
"53","cobbles"
"53","runs"
"53","leaf packs"
"53","undercut overhanging"
"54","riffles"
"54","cobbles"
"54","aquatic plants"
"54","runs"
"54","stream margins"
"54","pools"
"54","undercut overhanging"
"55","riffles"
"55","cobbles"
"55","aquatic plants"
"55","runs"
"55","stream margins"
"55","pools"
"55","undercut overhanging"
"57","riffles"
"57","cobbles"
"57","aquatic plants"
"57","runs"
"57","leaf packs"
"57","pools"
"57","undercut overhanging"
"57","submerged wood"
"57","other"
"58","riffles"
"58","cobbles"
"58","aquatic plants"
"58","runs"
"58","stream margins"
"58","leaf packs"
"58","pools"
"58","undercut overhanging"
"58","submerged wood"
"59","riffles"
"59","runs"
"59","stream margins"
"59","leaf packs"
"60","riffles"
"60","cobbles"
"60","runs"
"60","stream margins"
"60","leaf packs"
"60","pools"
"60","undercut overhanging"
"60","submerged wood"
"61","riffles"
"61","cobbles"
"61","other"
"61","runs"
"61","stream margins"
"61","leaf packs"
"61","pools"
"61","undercut overhanging"
"61","submerged wood"
"62","riffles"
"62","cobbles"
"62","aquatic plants"
"62","runs"
"62","stream margins"
"62","leaf packs"
"62","undercut overhanging"
"62","submerged wood"
"63","riffles"
"63","cobbles"
"63","aquatic plants"
"63","runs"
"63","stream margins"
"63","pools"
"63","leaf packs"
"63","undercut overhanging"
"63","submerged wood"
"64","riffles"
"64","cobbles"
"64","aquatic plants"
"64","leaf packs"
"64","pools"
"64","undercut overhanging"
"65","riffles"
"65","cobbles"
"65","runs"
"65","leaf packs"
"65","pools"
"65","undercut overhanging"
"65","submerged wood"
"66","riffles"
"66","cobbles"
"66","aquatic plants"
"66","runs"
"66","stream margins"
"66","leaf packs"
"66","pools"
"66","undercut overhanging"
"66","submerged wood"
"67","riffles"
"67","cobbles"
"67","runs"
"67","stream margins"
"67","leaf packs"
"67","pools"
"67","undercut overhanging"
"67","submerged wood"
"68","cobbles"
"68","undercut overhanging"
"68","leaf packs"
"68","riffles"
"68","pools"
"69","riffles"
"69","cobbles"
"69","runs"
"69","leaf packs"
"69","pools"
"69","undercut overhanging"
"69","submerged wood"
"70","riffles"
"70","cobbles"
"70","runs"
"70","stream margins"
"70","pools"
"70","undercut overhanging"
"71","riffles"
"71","runs"
"71","stream margins"
"71","leaf packs"
"71","pools"
"71","submerged wood"
"72","riffles"
"72","cobbles"
"72","aquatic plants"
"72","runs"
"72","stream margins"
"73","riffles"
"73","aquatic plants"
"73","runs"
"73","stream margins"
"73","leaf packs"
"73","undercut overhanging"
"73","submerged wood"
"74","runs"
"74","leaf packs"
"74","undercut overhanging"
"75","riffles"
"75","cobbles"
"75","runs"
"75","stream margins"
"75","leaf packs"
"75","pools"
"75","undercut overhanging"
"75","submerged wood"
"76","riffles"
"76","cobbles"
"76","other"
"76","runs"
"76","stream margins"
"76","leaf packs"
"77","riffles"
"78","riffles"
"78","cobbles"
"78","stream margins"
"78","leaf packs"
"78","submerged wood"
"79","riffles"
"79","cobbles"
"79","runs"
"79","stream margins"
"79","leaf packs"
"3","riffles"
"3","aquatic plants"
"3","stream margins"
"3","leaf packs"
"79","pools"
"79","undercut overhanging"
"79","submerged wood"
"3","cobbles"
"3","runs"
"80","riffles"
"80","cobbles"
"80","aquatic plants"
"80","runs"
"80","stream margins"
"80","leaf packs"
"80","pools"
"80","undercut overhanging"
"80","submerged wood"
"81","riffles"
"81","cobbles"
"81","aquatic plants"
"81","runs"
"81","leaf packs"
"81","undercut overhanging"
"82","riffles"
"530","submerged wood"
"531","riffles"
"531","cobbles"
"531","runs"
"531","stream margins"
