ID,BRANCH,FIELDID,STONEFLIES PRESENT?,ST2022,ST2022date,ST2022Family,ST2022Saltppm,ST2021,ST2021date,ST2021Family,ST2021Saltppm,ST2020date,ST2020,ST2020Family,ST2020Salt,ST2020Saltppm,ST19,ST19Family,ST19 date,ST19Collector,ST18,ST18Collector,ST17Collector,ST17date,ST17,ST17Capnids,ST17Perlodids,ST17Nemourids,ST17Taeniopteryx,ST16date,ST16Collector,ST16,ST16 Capnids,ST16 Perlodids,ST15,ST15date,ST15Capnids,ST15Perlodids,ST15Collector,ST14date,ST14,ST14Capnids,ST14Perlodids,ST13date,ST13,ST13Capnids,ST13Perlodids,St13Taeniopteryx,ST12,ST12Capnids,ST12Perlodids,ST12Taeniopteryx,ST11 Perlodids,ST11 Capnid,ST11,ST10,ST10 Capnid,ST10 Perlodid,ST10 Nemouridae,ST10 Taeniopterygidae,ST09,ST09 Capnid,ST09 Perlodid,ST08,ST08 Capnid,ST08Perlodid,ST07,ST06,ST05,ST04,ST03,ST02
84,M,Wall3,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
85,M,Will1,N,,,,,,,,,1/25/2020,N,,4.900000095,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,
86,M,John8,Y,,,,,Y,1/13/2021,"Capnids, Perlodids",159,1/11/2020,Y,"Capnids, Perlodids",1,20,Y,"Capnids, Perlodids",1/12/2019,ST,Y,6,2,1/21/2017,Y,4,2,,,2/13/16,6,Y,,3,Y,2/14/15,,Y,ST,1/25/14,N,N,N,1/26/13,Y,,Perlodidae,,Y,,Perlodidae,,Perlodid,Allocapnia,Y,,,,,,,,,,,,,,,,,
87,M,MR-23,Y,,,,,,,,,2/2/2020,N,,,,Y,Capnids,1/13/2019,ST,Y,ST,ST,1/22/2017,N,,,,,2/20/16,ST,Y,5,1,N,2/13/15,,,ST,2/1/14,N,N,N,2/3/13,Y,Capniidae,,,Y,Capniidae,,,,,N,,,,,,,,,,,,,,,,,
88,MN,MN-5,N,,,,,,,,,,,,,,N,,2/21/2019,WC,N,WC,WC,1/30/2017,N,,,,,2/9/16,WC,N,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,
90,MN,Main8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,L,LR-10,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,2/17/15,,,WC,1/23/14,N,N,N,2/5/13,N,,,,N,,,,,,,,,,,,,,,,,,,,,,,
92,L,LR-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,L,LR-5,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,2/14/15,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,L,LR-6,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/23/14,N,N,N,2/4/13,N,,,,N,,,,,,,,,,,,,,,,,,,,,,,
